,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
1157,1981-03-31,0,-3.4376137580928576,1981,3,31,14,1,90,1,Spring,6.123233995736766e-17,0.6234898018587336
1158,1981-04-30,2,1.0363681479691869,1981,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
1159,1981-04-30,1,-0.7951599830149079,1981,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
1160,1981-04-30,0,0.26653296544061167,1981,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
1161,1981-05-31,1,0.9260241745289313,1981,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
1162,1981-05-31,0,-2.7710210732513776,1981,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
1163,1981-05-31,2,-0.0504173668893082,1981,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
1164,1981-06-30,1,-0.719933635328738,1981,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
1165,1981-06-30,2,0.32028579235869614,1981,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
1166,1981-06-30,0,1.545774681475562,1981,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
1167,1981-07-31,1,-0.8885092427600243,1981,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
1168,1981-07-31,2,-1.6861601760837575,1981,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
1169,1981-07-31,0,-4.107626059030876,1981,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
1170,1981-08-31,1,-0.35977698663751806,1981,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
1171,1981-08-31,2,-1.0699915342026585,1981,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
1172,1981-08-31,0,-0.42230015053488257,1981,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
1173,1981-09-30,1,0.6192738729872409,1981,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
1174,1981-09-30,2,1.3488709926988927,1981,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
1175,1981-09-30,0,3.755346495346551,1981,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
1176,1981-10-31,2,1.9614855869272096,1981,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
1177,1981-10-31,0,4.700782659897714,1981,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
1178,1981-10-31,1,0.6903637453577409,1981,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
1179,1981-11-30,0,0.8547536599273826,1981,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
1180,1981-11-30,2,-0.2757838085007047,1981,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
1181,1981-11-30,1,1.7185251779424058,1981,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
1182,1981-12-31,0,6.359720557687188,1981,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
1183,1981-12-31,2,1.6111403836735358,1981,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
1184,1981-12-31,1,0.8677751417198727,1981,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
1185,1982-01-31,0,-3.0742216987746964,1982,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
1186,1982-01-31,2,0.6612054308424176,1982,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
1187,1982-01-31,1,-2.2172441661702074,1982,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
1188,1982-02-28,2,-0.608103938627421,1982,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
1189,1982-02-28,1,0.4458240971995844,1982,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
1190,1982-02-28,0,0.7140333538962675,1982,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
1191,1982-03-31,2,-2.2225412599126426,1982,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
1192,1982-03-31,0,-6.741663134207923,1982,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
1193,1982-03-31,1,-0.6643027905382184,1982,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
1194,1982-04-30,2,-0.32354272956931984,1982,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
1195,1982-04-30,0,0.8096381052187418,1982,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
1196,1982-04-30,1,-0.3598300866637274,1982,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
1197,1982-05-31,2,-1.4823995722351297,1982,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
1198,1982-05-31,0,-6.951882278493712,1982,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
1199,1982-05-31,1,-0.3163547126166092,1982,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
1200,1982-06-30,2,0.8936276339541596,1982,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
1201,1982-06-30,0,1.106635844456907,1982,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
1202,1982-06-30,1,0.9678362073503127,1982,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
1203,1982-07-31,0,-0.8170706108005568,1982,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
1204,1982-07-31,1,-0.6348214662346638,1982,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
1205,1982-07-31,2,0.05284946002477242,1982,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
1206,1982-08-31,0,-0.1883871016838441,1982,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
1207,1982-08-31,1,-0.8084826898178414,1982,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
1208,1982-08-31,2,-0.6516553611164131,1982,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
1209,1982-09-30,0,2.116704099000322,1982,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
1210,1982-09-30,1,1.094415259156235,1982,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
1211,1982-09-30,2,0.9265690605634169,1982,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
1212,1982-10-31,2,0.5421491351501464,1982,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
1213,1982-10-31,1,0.45855171483696955,1982,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
1214,1982-10-31,0,4.858555457709812,1982,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
1215,1982-11-30,0,0.4764881192783763,1982,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
1216,1982-11-30,2,0.8304386023268626,1982,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
1217,1982-11-30,1,-0.6318439031496286,1982,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
1218,1982-12-31,2,1.4004188096228756,1982,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
1219,1982-12-31,0,5.057621388647004,1982,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
1220,1982-12-31,1,1.2258701933533265,1982,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
1221,1983-01-31,2,0.9048811811321311,1983,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1222,1983-01-31,1,-0.8190362492152674,1983,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1223,1983-01-31,0,-1.386030871271668,1983,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1224,1983-02-28,1,0.9764905989455348,1983,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
1225,1983-02-28,0,2.676316422750258,1983,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
1226,1983-02-28,2,-1.5084359386722141,1983,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
1227,1983-03-31,2,0.07528649189622616,1983,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
1228,1983-03-31,1,0.9864723974070668,1983,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
1229,1983-03-31,0,-3.5398507977221367,1983,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
1230,1983-04-30,0,-7.667215653828381,1983,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
1231,1983-04-30,2,-2.596975121686228,1983,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
1232,1983-04-30,1,-2.160331912301446,1983,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
1233,1983-05-31,0,-0.755140736023292,1983,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
1234,1983-05-31,1,-0.1182822264370913,1983,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
